symbol,year,month,day,open,volume
Amazon,2012,3,2,8.974,73156000
Amazon,2012,3,5,8.95,93654000
Amazon,2012,3,6,8.934,112244000
Amazon,2012,3,7,9.1325,99030000
Amazon,2012,3,8,9.2085,84430000
Amazon,2012,3,9,9.3395,90212000
Amazon,2012,3,12,9.2065,51752000
Amazon,2012,3,13,9.196,88116000
Amazon,2012,3,14,9.1825,73994000
Amazon,2012,3,15,9.101,83202000
Amazon,2012,3,16,9.164,98680000
Amazon,2012,3,19,9.1725,78068000
Amazon,2012,3,20,9.244,183308000
Amazon,2012,3,21,9.625,84288000
Amazon,2012,3,22,9.527,74792000
Amazon,2012,3,23,9.6005,119680000
Amazon,2012,3,26,9.824,152274000
Amazon,2012,3,27,10.1795,192016000
Amazon,2012,3,28,10.307,124900000
Amazon,2012,3,29,10.064,114224000
Amazon,2012,3,30,10.251,88762000
Amazon,2012,4,2,9.901,128606000
Amazon,2012,4,3,9.912,100014000
Amazon,2012,4,4,9.8475,109138000
Amazon,2012,4,5,9.6775,64350000
Amazon,2012,4,9,9.601,62718000
Amazon,2012,4,10,9.6375,89100000
Amazon,2012,4,11,9.4815,86756000
Amazon,2012,4,12,9.403,80558000
Amazon,2012,4,13,9.495,68636000
Amazon,2012,4,16,9.4505,80886000
Amazon,2012,4,17,9.3605,56584000
Amazon,2012,4,18,9.441,80038000
Amazon,2012,4,19,9.6465,80048000
Amazon,2012,4,20,9.617,64872000
Amazon,2012,4,23,9.4495,69620000
Amazon,2012,4,24,9.434,67526000
Amazon,2012,4,25,9.5835,79102000
Amazon,2012,4,26,9.6785,204680000
Amazon,2012,4,27,11.2415,442338000
Amazon,2012,4,30,11.1975,195138000
Amazon,2012,5,1,11.47,135098000
Amazon,2012,5,2,11.391,91868000
Amazon,2012,5,3,11.487,81110000
Amazon,2012,5,4,11.39,91704000
Amazon,2012,5,7,11.118,66286000
Amazon,2012,5,8,11.1575,90448000
Amazon,2012,5,9,11.0295,74240000
Amazon,2012,5,10,11.1955,92968000
Amazon,2012,5,11,11.2975,83872000
Amazon,2012,5,14,11.28,61932000
Amazon,2012,5,15,11.325,114274000
Amazon,2012,5,16,11.25,105236000
Amazon,2012,5,17,11.2525,90110000
Amazon,2012,5,18,10.9705,104634000
Amazon,2012,5,21,10.7015,71596000
Amazon,2012,5,22,10.9155,74662000
Amazon,2012,5,23,10.7355,84876000
Amazon,2012,5,24,10.849,62822000
Amazon,2012,5,25,10.7495,43428000
Amazon,2012,5,29,10.715,53878000
Amazon,2012,5,30,10.607,81564000
Amazon,2012,5,31,10.474,98880000
Amazon,2012,6,1,10.422,79030000
Amazon,2012,6,4,10.37,85992000
Amazon,2012,6,5,10.6925,70878000
Amazon,2012,6,6,10.7315,54202000
Amazon,2012,6,7,10.9825,70078000
Amazon,2012,6,8,10.9305,57540000
Amazon,2012,6,11,10.8745,74982000
Amazon,2012,6,12,10.8825,56666000
Amazon,2012,6,13,10.776,46504000
Amazon,2012,6,14,10.763,61218000
Amazon,2012,6,15,10.7645,75704000
Amazon,2012,6,18,10.864,67392000
Amazon,2012,6,19,11.163,54332000
Amazon,2012,6,20,11.2255,48888000
Amazon,2012,6,21,11.192,56860000
Amazon,2012,6,22,11.0915,43750000
Amazon,2012,6,25,11.015,47646000
Amazon,2012,6,26,11.0725,75082000
Amazon,2012,6,27,11.2505,55984000
Amazon,2012,6,28,11.196,59896000
Amazon,2012,6,29,11.235,72288000
Amazon,2012,7,2,11.465,46614000
Amazon,2012,7,3,11.457,26634000
Amazon,2012,7,5,11.431,53646000
Amazon,2012,7,6,11.3175,64064000
Amazon,2012,7,9,11.25,38440000
Amazon,2012,7,10,11.3125,59642000
Amazon,2012,7,11,10.9475,54694000
Amazon,2012,7,12,10.8305,52324000
Amazon,2012,7,13,10.7815,44438000
Amazon,2012,7,16,10.83,40084000
Amazon,2012,7,17,10.8725,39740000
Amazon,2012,7,18,10.8075,41860000
Amazon,2012,7,19,11.0365,108988000
Amazon,2012,7,20,11.268,83400000
Amazon,2012,7,23,11.236,110302000
Amazon,2012,7,24,11.3135,100174000
Amazon,2012,7,25,11.1,72934000
Amazon,2012,7,26,11,138748000
Amazon,2012,7,27,11.2625,226278000
Amazon,2012,7,30,11.85,74728000
Amazon,2012,7,31,11.755,69072000
Amazon,2012,8,1,11.707,50876000
Amazon,2012,8,2,11.528,60962000
Amazon,2012,8,3,11.7015,56506000
Amazon,2012,8,6,11.778,36874000
Amazon,2012,8,7,11.7065,41166000
Amazon,2012,8,8,11.7645,30686000
Amazon,2012,8,9,11.6965,30962000
Amazon,2012,8,10,11.654,37050000
Amazon,2012,8,13,11.6115,39946000
Amazon,2012,8,14,11.7355,55020000
Amazon,2012,8,15,11.613,65294000
Amazon,2012,8,16,11.886,86242000
Amazon,2012,8,17,12.03,61716000
Amazon,2012,8,20,12.0685,37798000
Amazon,2012,8,21,12.044,51430000
Amazon,2012,8,22,11.97,49474000
Amazon,2012,8,23,12.107,49078000
Amazon,2012,8,24,12.084,73976000
Amazon,2012,8,27,12.2895,58594000
Amazon,2012,8,28,12.1985,54846000
Amazon,2012,8,29,12.339,35452000
Amazon,2012,8,30,12.3495,72950000
Amazon,2012,8,31,12.4035,66950000
Amazon,2012,9,4,12.4135,79016000
Amazon,2012,9,5,12.3805,53052000
Amazon,2012,9,6,12.4115,107228000
Amazon,2012,9,7,12.6925,100590000
Amazon,2012,9,10,12.95,51344000
Amazon,2012,9,11,12.88,50496000
